"Time","sum(rate(udp_tracker_server_requests_accepted_total{job=""tracker_metrics"", request_kind=""announce"", server_binding_address_ip_family=""inet""}[15m]))"
2026-01-13 12:20:00,2420
2026-01-13 12:40:00,2519
2026-01-13 13:00:00,2553
2026-01-13 13:20:00,2530
2026-01-13 13:40:00,2492
2026-01-13 14:00:00,2422
2026-01-13 14:20:00,2426
2026-01-13 14:40:00,2434
2026-01-13 15:00:00,2491
2026-01-13 15:20:00,2448
2026-01-13 15:40:00,2462
2026-01-13 16:00:00,2478
2026-01-13 16:20:00,2411
2026-01-13 16:40:00,2421
2026-01-13 17:00:00,2584
2026-01-13 17:20:00,2534
2026-01-13 17:40:00,2436
2026-01-13 18:00:00,2402
2026-01-13 18:20:00,2466
2026-01-13 18:40:00,2459
2026-01-13 19:00:00,2368
2026-01-13 19:20:00,2410
2026-01-13 19:40:00,2441
2026-01-13 20:00:00,2367
2026-01-13 20:20:00,2464
2026-01-13 20:40:00,2400
2026-01-13 21:00:00,2435
2026-01-13 21:20:00,2453
2026-01-13 21:40:00,2526
2026-01-13 22:00:00,2465
2026-01-13 22:20:00,2438
2026-01-13 22:40:00,2415
2026-01-13 23:00:00,2509
2026-01-13 23:20:00,2579
2026-01-13 23:40:00,2506
2026-01-14 00:00:00,2702
2026-01-14 00:20:00,2870
2026-01-14 00:40:00,2736
2026-01-14 01:00:00,2879
2026-01-14 01:20:00,2825
2026-01-14 01:40:00,2990
2026-01-14 02:00:00,3047
2026-01-14 02:20:00,2882
2026-01-14 02:40:00,2996
2026-01-14 03:00:00,2956
2026-01-14 03:20:00,2944
2026-01-14 03:40:00,3061
2026-01-14 04:00:00,3243
2026-01-14 04:20:00,3110
2026-01-14 04:40:00,3305
2026-01-14 05:00:00,2960
2026-01-14 05:20:00,2914
2026-01-14 05:40:00,2900
2026-01-14 06:00:00,3058
2026-01-14 06:20:00,2966
2026-01-14 06:40:00,2795
2026-01-14 07:00:00,3084
2026-01-14 07:20:00,2934
2026-01-14 07:40:00,2883
2026-01-14 08:00:00,2988
2026-01-14 08:20:00,2895
2026-01-14 08:40:00,2928
2026-01-14 09:00:00,2966
2026-01-14 09:20:00,2857
2026-01-14 09:40:00,2955
2026-01-14 10:00:00,2878
2026-01-14 10:20:00,2913
2026-01-14 10:40:00,2799
2026-01-14 11:00:00,2814
2026-01-14 11:20:00,2750
2026-01-14 11:40:00,2911
2026-01-14 12:00:00,2741
2026-01-14 12:20:00,2608
2026-01-14 12:40:00,2486
2026-01-14 13:00:00,2589
2026-01-14 13:20:00,2532
2026-01-14 13:40:00,2540
2026-01-14 14:00:00,2512
2026-01-14 14:20:00,2541
2026-01-14 14:40:00,2524
2026-01-14 15:00:00,2547
2026-01-14 15:20:00,2626
2026-01-14 15:40:00,2500
2026-01-14 16:00:00,2600
2026-01-14 16:20:00,2611
2026-01-14 16:40:00,2529
2026-01-14 17:00:00,2513
2026-01-14 17:20:00,2438
2026-01-14 17:40:00,2591
2026-01-14 18:00:00,2433
2026-01-14 18:20:00,2479
2026-01-14 18:40:00,2575
2026-01-14 19:00:00,2590
2026-01-14 19:20:00,2487
2026-01-14 19:40:00,2576
2026-01-14 20:00:00,2469
2026-01-14 20:20:00,2498
2026-01-14 20:40:00,2490
2026-01-14 21:00:00,2425
2026-01-14 21:20:00,2690
2026-01-14 21:40:00,2881
2026-01-14 22:00:00,3003
2026-01-14 22:20:00,2675
2026-01-14 22:40:00,2812
2026-01-14 23:00:00,3061
2026-01-14 23:20:00,2953
2026-01-14 23:40:00,3120
2026-01-15 00:00:00,3044
2026-01-15 00:20:00,2869
2026-01-15 00:40:00,2978
2026-01-15 01:00:00,2949
2026-01-15 01:20:00,3354
2026-01-15 01:40:00,3416
2026-01-15 02:00:00,3248
2026-01-15 02:20:00,3045
2026-01-15 02:40:00,3013
2026-01-15 03:00:00,2831
2026-01-15 03:20:00,3489
2026-01-15 03:40:00,3380
2026-01-15 04:00:00,3345
2026-01-15 04:20:00,3210
2026-01-15 04:40:00,3456
2026-01-15 05:00:00,3391
2026-01-15 05:20:00,3377
2026-01-15 05:40:00,3503
2026-01-15 06:00:00,3658
2026-01-15 06:20:00,3435
2026-01-15 06:40:00,3312
2026-01-15 07:00:00,3216
2026-01-15 07:20:00,3401
2026-01-15 07:40:00,3135
2026-01-15 08:00:00,3487
2026-01-15 08:20:00,3697
2026-01-15 08:40:00,3755
2026-01-15 09:00:00,3621
2026-01-15 09:20:00,3472
2026-01-15 09:40:00,3332
2026-01-15 10:00:00,3164
2026-01-15 10:20:00,3220
2026-01-15 10:40:00,3423
2026-01-15 11:00:00,3204
2026-01-15 11:20:00,3029
2026-01-15 11:40:00,3145
2026-01-15 12:00:00,2998
2026-01-15 12:20:00,2698
2026-01-15 12:40:00,2705
2026-01-15 13:00:00,2735
2026-01-15 13:20:00,2639
2026-01-15 13:40:00,2678
2026-01-15 14:00:00,2770
2026-01-15 14:20:00,2800
2026-01-15 14:40:00,2784
2026-01-15 15:00:00,2879
2026-01-15 15:20:00,2773
2026-01-15 15:40:00,2808
2026-01-15 16:00:00,2628
2026-01-15 16:20:00,2886
2026-01-15 16:40:00,2947
2026-01-15 17:00:00,3003
2026-01-15 17:20:00,2879
2026-01-15 17:40:00,2863
2026-01-15 18:00:00,2864
2026-01-15 18:20:00,2746
2026-01-15 18:40:00,2679
2026-01-15 19:00:00,2815
2026-01-15 19:20:00,2768
2026-01-15 19:40:00,2809
2026-01-15 20:00:00,3029
2026-01-15 20:20:00,2746
2026-01-15 20:40:00,3019
2026-01-15 21:00:00,2954
2026-01-15 21:20:00,3033
2026-01-15 21:40:00,2754
2026-01-15 22:00:00,2750
2026-01-15 22:20:00,2674
2026-01-15 22:40:00,2803
2026-01-15 23:00:00,2920
2026-01-15 23:20:00,2980
2026-01-15 23:40:00,2981
2026-01-16 00:00:00,2812
2026-01-16 00:20:00,2873
2026-01-16 00:40:00,2776
2026-01-16 01:00:00,3074
2026-01-16 01:20:00,3114
2026-01-16 01:40:00,3216
2026-01-16 02:00:00,3464
2026-01-16 02:20:00,3452
2026-01-16 02:40:00,3316
2026-01-16 03:00:00,3364
2026-01-16 03:20:00,3251
2026-01-16 03:40:00,3441
2026-01-16 04:00:00,3382
2026-01-16 04:20:00,3357
2026-01-16 04:40:00,3558
2026-01-16 05:00:00,3594
2026-01-16 05:20:00,3766
2026-01-16 05:40:00,3687
2026-01-16 06:00:00,3762
2026-01-16 06:20:00,3697
2026-01-16 06:40:00,3634
2026-01-16 07:00:00,3665
2026-01-16 07:20:00,3521
2026-01-16 07:40:00,3487
2026-01-16 08:00:00,3582
2026-01-16 08:20:00,3554
2026-01-16 08:40:00,3254
2026-01-16 09:00:00,3426
2026-01-16 09:20:00,3408
2026-01-16 09:40:00,3342
2026-01-16 10:00:00,3316
2026-01-16 10:20:00,3290
2026-01-16 10:40:00,3301
2026-01-16 11:00:00,3051
2026-01-16 11:20:00,3579
2026-01-16 11:40:00,3585
2026-01-16 12:00:00,3401
2026-01-16 12:20:00,2799
2026-01-16 12:40:00,2925
2026-01-16 13:00:00,2858
2026-01-16 13:20:00,2965
2026-01-16 13:40:00,2773
2026-01-16 14:00:00,2845
2026-01-16 14:20:00,2859
2026-01-16 14:40:00,2883
2026-01-16 15:00:00,2933
2026-01-16 15:20:00,2992
2026-01-16 15:40:00,3091
2026-01-16 16:00:00,3017
2026-01-16 16:20:00,2948
2026-01-16 16:40:00,2936
2026-01-16 17:00:00,2927
2026-01-16 17:20:00,2708
2026-01-16 17:40:00,2773
2026-01-16 18:00:00,2786
2026-01-16 18:20:00,2947
2026-01-16 18:40:00,2994
2026-01-16 19:00:00,3453
2026-01-16 19:20:00,3332
2026-01-16 19:40:00,3279
2026-01-16 20:00:00,3286
2026-01-16 20:20:00,3360
2026-01-16 20:40:00,3303
2026-01-16 21:00:00,3140
2026-01-16 21:20:00,3304
2026-01-16 21:40:00,3255
2026-01-16 22:00:00,3126
2026-01-16 22:20:00,3533
2026-01-16 22:40:00,3697
2026-01-16 23:00:00,3762
2026-01-16 23:20:00,3679
2026-01-16 23:40:00,3382
2026-01-17 00:00:00,3706
2026-01-17 00:20:00,3369
2026-01-17 00:40:00,3548
2026-01-17 01:00:00,3589
2026-01-17 01:20:00,3818
2026-01-17 01:40:00,3577
2026-01-17 02:00:00,3668
2026-01-17 02:20:00,3617
2026-01-17 02:40:00,4098
2026-01-17 03:00:00,4318
2026-01-17 03:20:00,5284
2026-01-17 03:40:00,5393
2026-01-17 04:00:00,5637
2026-01-17 04:20:00,5205
2026-01-17 04:40:00,5453
2026-01-17 05:00:00,5645
2026-01-17 05:20:00,5460
2026-01-17 05:40:00,5507
2026-01-17 06:00:00,5715
2026-01-17 06:20:00,5545
2026-01-17 06:40:00,5432
2026-01-17 07:00:00,6060
2026-01-17 07:20:00,5743
2026-01-17 07:40:00,5671
2026-01-17 08:00:00,6082
2026-01-17 08:20:00,5906
2026-01-17 08:40:00,5674
2026-01-17 09:00:00,5820
2026-01-17 09:20:00,5779
2026-01-17 09:40:00,6729
2026-01-17 10:00:00,6232
2026-01-17 10:20:00,5953
2026-01-17 10:40:00,5933
2026-01-17 11:00:00,6540
2026-01-17 11:20:00,6250
2026-01-17 11:40:00,5896
2026-01-17 12:00:00,5933
2026-01-17 12:20:00,3945
2026-01-17 12:40:00,4566
2026-01-17 13:00:00,4546
2026-01-17 13:20:00,4214
2026-01-17 13:40:00,4269
2026-01-17 14:00:00,3987
2026-01-17 14:20:00,4208
2026-01-17 14:40:00,5020
2026-01-17 15:00:00,5143
2026-01-17 15:20:00,4707
2026-01-17 15:40:00,5585
2026-01-17 16:00:00,5373
2026-01-17 16:20:00,5615
2026-01-17 16:40:00,4549
2026-01-17 17:00:00,4403
2026-01-17 17:20:00,5118
2026-01-17 17:40:00,5325
2026-01-17 18:00:00,5340
2026-01-17 18:20:00,4437
2026-01-17 18:40:00,6062
2026-01-17 19:00:00,6383
2026-01-17 19:20:00,5849
2026-01-17 19:40:00,6261
2026-01-17 20:00:00,6447
2026-01-17 20:20:00,6339
2026-01-17 20:40:00,6142
2026-01-17 21:00:00,6518
2026-01-17 21:20:00,6667
2026-01-17 21:40:00,6837
2026-01-17 22:00:00,7294
2026-01-17 22:20:00,6999
2026-01-17 22:40:00,7072
2026-01-17 23:00:00,7756
2026-01-17 23:20:00,7998
2026-01-17 23:40:00,8216
2026-01-18 00:00:00,8281
2026-01-18 00:20:00,7329
2026-01-18 00:40:00,7387
2026-01-18 01:00:00,7524
2026-01-18 01:20:00,7572
2026-01-18 01:40:00,7770
2026-01-18 02:00:00,7584
2026-01-18 02:20:00,7608
2026-01-18 02:40:00,7688
2026-01-18 03:00:00,7809
2026-01-18 03:20:00,7555
2026-01-18 03:40:00,7608
2026-01-18 04:00:00,7480
2026-01-18 04:20:00,7334
2026-01-18 04:40:00,7510
2026-01-18 05:00:00,7524
2026-01-18 05:20:00,7573
2026-01-18 05:40:00,7444
2026-01-18 06:00:00,7478
2026-01-18 06:20:00,7404
2026-01-18 06:40:00,7374
2026-01-18 07:00:00,7329
2026-01-18 07:20:00,7376
2026-01-18 07:40:00,7431
2026-01-18 08:00:00,7275
2026-01-18 08:20:00,7221
2026-01-18 08:40:00,7178
2026-01-18 09:00:00,7263
2026-01-18 09:20:00,7362
2026-01-18 09:40:00,7411
2026-01-18 10:00:00,7423
2026-01-18 10:20:00,7208
2026-01-18 10:40:00,7420
2026-01-18 11:00:00,7382
2026-01-18 11:20:00,7180
2026-01-18 11:40:00,7191
2026-01-18 12:00:00,7268
2026-01-18 12:20:00,5996
2026-01-18 12:40:00,6472
2026-01-18 13:00:00,6794
2026-01-18 13:20:00,6560
2026-01-18 13:40:00,6709
2026-01-18 14:00:00,7095
2026-01-18 14:20:00,6833
2026-01-18 14:40:00,6922
2026-01-18 15:00:00,7223
2026-01-18 15:20:00,7050
2026-01-18 15:40:00,6928
2026-01-18 16:00:00,7031
2026-01-18 16:20:00,6995
2026-01-18 16:40:00,7324
2026-01-18 17:00:00,7305
2026-01-18 17:20:00,7206
2026-01-18 17:40:00,7282
2026-01-18 18:00:00,7294
2026-01-18 18:20:00,7413
2026-01-18 18:40:00,7299
2026-01-18 19:00:00,7547
2026-01-18 19:20:00,7308
2026-01-18 19:40:00,7470
2026-01-18 20:00:00,7569
2026-01-18 20:20:00,7647
2026-01-18 20:40:00,7650
2026-01-18 21:00:00,7722
2026-01-18 21:20:00,8029
2026-01-18 21:40:00,7852
2026-01-18 22:00:00,7701
2026-01-18 22:20:00,7444
2026-01-18 22:40:00,7808
2026-01-18 23:00:00,7613
2026-01-18 23:20:00,7770
2026-01-18 23:40:00,7201
2026-01-19 00:00:00,7497
2026-01-19 00:20:00,7108
2026-01-19 00:40:00,7091
2026-01-19 01:00:00,7236
2026-01-19 01:20:00,7028
2026-01-19 01:40:00,7162
2026-01-19 02:00:00,7184
2026-01-19 02:20:00,7022
2026-01-19 02:40:00,6902
2026-01-19 03:00:00,6962
2026-01-19 03:20:00,6760
2026-01-19 03:40:00,6850
2026-01-19 04:00:00,6843
2026-01-19 04:20:00,6584
2026-01-19 04:40:00,6553
2026-01-19 05:00:00,6757
2026-01-19 05:20:00,6682
2026-01-19 05:40:00,6537
2026-01-19 06:00:00,6489
2026-01-19 06:20:00,6445
2026-01-19 06:40:00,6367
2026-01-19 07:00:00,6378
2026-01-19 07:20:00,6317
2026-01-19 07:40:00,6448
2026-01-19 08:00:00,6485
2026-01-19 08:20:00,6387
2026-01-19 08:40:00,6407
2026-01-19 09:00:00,6356
2026-01-19 09:20:00,6363
2026-01-19 09:40:00,6425
2026-01-19 10:00:00,6495
2026-01-19 10:20:00,6376
2026-01-19 10:40:00,6419
2026-01-19 11:00:00,6389
2026-01-19 11:20:00,6393
2026-01-19 11:40:00,6564
2026-01-19 12:00:00,6437
2026-01-19 12:20:00,6721
2026-01-19 12:40:00,6815
2026-01-19 13:00:00,6702
2026-01-19 13:20:00,6710
2026-01-19 13:40:00,6677
2026-01-19 14:00:00,6907
2026-01-19 14:20:00,6716
2026-01-19 14:40:00,6537
2026-01-19 15:00:00,6587
2026-01-19 15:20:00,6494
2026-01-19 15:40:00,6683
2026-01-19 16:00:00,6648
2026-01-19 16:20:00,6558
2026-01-19 16:40:00,6571
2026-01-19 17:00:00,6741
2026-01-19 17:20:00,6638
2026-01-19 17:40:00,6546
2026-01-19 18:00:00,6680
2026-01-19 18:20:00,6692
2026-01-19 18:40:00,6476
2026-01-19 19:00:00,6501
2026-01-19 19:20:00,6450
2026-01-19 19:40:00,6404
2026-01-19 20:00:00,6536
2026-01-19 20:20:00,6522
2026-01-19 20:40:00,6421
2026-01-19 21:00:00,6958
2026-01-19 21:20:00,6635
2026-01-19 21:40:00,6616
2026-01-19 22:00:00,6497
2026-01-19 22:20:00,6278
2026-01-19 22:40:00,6601
2026-01-19 23:00:00,6651
2026-01-19 23:20:00,6464
2026-01-19 23:40:00,6394
2026-01-20 00:00:00,6427
2026-01-20 00:20:00,6079
2026-01-20 00:40:00,6177
2026-01-20 01:00:00,6355
2026-01-20 01:20:00,6267
2026-01-20 01:40:00,6275
2026-01-20 02:00:00,6202
2026-01-20 02:20:00,6181
2026-01-20 02:40:00,6114
2026-01-20 03:00:00,6057
2026-01-20 03:20:00,6053
2026-01-20 03:40:00,5946
2026-01-20 04:00:00,5705
2026-01-20 04:20:00,5658
2026-01-20 04:40:00,5901
2026-01-20 05:00:00,5823
2026-01-20 05:20:00,5787
2026-01-20 05:40:00,5692
2026-01-20 06:00:00,5548
2026-01-20 06:20:00,5633
2026-01-20 06:40:00,5401
2026-01-20 07:00:00,5401
2026-01-20 07:20:00,5593
2026-01-20 07:40:00,5445
2026-01-20 08:00:00,5478
2026-01-20 08:20:00,5604
2026-01-20 08:40:00,5486
2026-01-20 09:00:00,5476
2026-01-20 09:20:00,5493
2026-01-20 09:40:00,5521
2026-01-20 10:00:00,5615
2026-01-20 10:20:00,5661
2026-01-20 10:40:00,5599
2026-01-20 11:00:00,5720
2026-01-20 11:20:00,5600
2026-01-20 11:40:00,5581
2026-01-20 12:00:00,5584
2026-01-20 12:20:00,6011
2026-01-20 12:40:00,6040
2026-01-20 13:00:00,6163
2026-01-20 13:20:00,5979
2026-01-20 13:40:00,6163
2026-01-20 14:00:00,6248
2026-01-20 14:20:00,6136
2026-01-20 14:40:00,6185
2026-01-20 15:00:00,6196
2026-01-20 15:20:00,6132
2026-01-20 15:40:00,6124
2026-01-20 16:00:00,6512
2026-01-20 16:20:00,6211
2026-01-20 16:40:00,6171
2026-01-20 17:00:00,6128
2026-01-20 17:20:00,6054
2026-01-20 17:40:00,6515
2026-01-20 18:00:00,6484
2026-01-20 18:20:00,6389
2026-01-20 18:40:00,6560
2026-01-20 19:00:00,6588
2026-01-20 19:20:00,6632
2026-01-20 19:40:00,6652
2026-01-20 20:00:00,6587
2026-01-20 20:20:00,6538
2026-01-20 20:40:00,6562
2026-01-20 21:00:00,6588
2026-01-20 21:20:00,6583
2026-01-20 21:40:00,6549
2026-01-20 22:00:00,6616
2026-01-20 22:20:00,6468
2026-01-20 22:40:00,6427
2026-01-20 23:00:00,6384
